Наименование транзистора|Структура|Pк max, Pк* т max, Pк** и max, мВт|fгр, f* h21б, f** h21э, f*** max,МГц|UКБО max, U* КЭR max, U** КЭО max, В|UЭБО max, В|IК max, I* К,и max, мА|IКБО, I* КЭR, I** КЭО, мкА|h21э, h21Э*|Cк, C12э*, пФ|rКЭ нас, ОмrБЭ* нас, ОмKу,р*, дБ|Kш, дБrб*, ОмPвых*, Вт|tau к, псtрас*, нсtвыкл**, нс
КТ339АМ|n-p-n|260 (55°С)|>=300|40|4|25|<=1 (40 В)|>=25* (10 В; 7 мА)|<=2 (5 В)|-|-|<=25
КТ339А|n-p-n|260 (55°С)|>=300|40|4|25|<=1 (40 В)|>=25* (10 В; 7 мА)|<=2 (5 В)|-|-|<=25
КТ339Б|n-p-n|260 (55°С)|>=250|25|4|25|<=1 (40 В)|>=15* (10 В; 7 мА)|<=2 (5 В)|-|-|<=25
КТ339В|n-p-n|260 (55°С)|>=450|40|4|25|<=1 (40 В)|>=25* (10 В; 7 мА)|<=2 (5 В)|-|-|<=50
КТ339Г|n-p-n|260 (55°С)|>=250|40|4|25|<=1 (40 В)|>=40* (10 В; 7 мА)|<=2 (5 В)|-|-|<=100
КТ339Д|n-p-n|260 (55°С)|>=250|40|4|25|<=1 (40 В)|>=15* (10 В; 7 мА)|<=2 (5 В)|-|-|<=150
КТ340А|n-p-n|150 (85°С)|>=300|15|5|50|<=1 (15 В)|100...300* (1 В; 10 мА)|<=3,7 (5 В)|<=20|-|<=45; <=10*
КТ340Б|n-p-n|150 (85°С)|>=300|20|5|50|<=1 (20 В)|>=100* (1 В; 10 мА)|<=3,7 (5 В)|<=25|-|<=40; <=15*
КТ340В|n-p-n|150 (85°С)|>=300|15|5|50 (200*)|<=1 (15 В)|>=35* (2 В; 0,2 А)|<=3,7 (5 В)|<=2|-|<=85; <=15*
КТ340Г|n-p-n|150 (85°С)|>=300|15|5|75 (500*)|<=1 (15 В)|>=16* (2 В; 0,5 А)|<=3,7 (5 В)|<=1,2|-|<=85; <=15*
КТ340Д|n-p-n|150 (85°С)|>=300|15|5|50|<=1 (15 В)|>=40* (2 В; 0,2 А)|<=6 (5 В)|<=30|-|<=150; <=75*
КТ342А|n-p-n|250|>=250|35|5|50 (300*)|<=0,05 (25 В)|100...250* (5 В; 1 мА)|<=8 (5 В)|<=10|-|<=200
КТ342Б|n-p-n|250|>=300|30|5|50 (300)|<=0,05 (20 В)|200...500* (5 В; 1 мА)|<=8 (5 В)|<=10|-|<=300
КТ342В|n-p-n|250|>=300|25|5|50 (300)|<=0,05 (10 В)|400...1000* (5 В; 1 мА)|<=8 (5 В)|<=10|-|<=700
КТ342Г|n-p-n|250|>=300|60* (10к)|5|50 (300*)|<=0,05 (60 В)|50...120* (5 В; 1 мА)|<=8 (5 В)|<=10|-|-
КТ342АМ|n-p-n|250|>=250|35|5|50 (300*)|<=0,05 (25 B)|100...250* (5 В; 2 мА)|<=8 (5 В)|<=10|-|<=200
КТ342БМ|n-p-n|250|>=300|30|5|50 (300*)|<=0,05 (20 B)|200...500* (5 В; 2 мА)|<=8 (5 В)|<=10|-|<=300
КТ342ВМ|n-p-n|250|>=300|25|5|50 (300*)|<=0,05 (10 B)|400...1000* (5 В; 2 мА)|<=8 (5 В)|<=10|-|<=700
КТ342ГМ|n-p-n|250|>=150|30* (10k)|5|50 (300*)|<=0,05 (30 B)|100...250* (5 В; 2 мА)|<=8 (5 В)|<=10|-|-
КТ342ДМ|n-p-n|250|>=150|25* (10k)|5|50 (300*)|<=0,05 (25 B)|200...500* (5 В; 2 мА)|<=8 (5 В)|<=10|-|-
КТ343А|p-n-p|150 (75°C)|>=300|17* (10k)|4|50 (150*)|<=1 (10 B)|>=30* (0,3 В; 10 мА)|<=6 (5 В)|<=30|-|<=10*
КТ343Б|p-n-p|150 (75°C)|>=300|17* (10k)|4|50 (150*)|<=1 (10 B)|>=50* (0,3 В; 10 мА)|<=6 (5 В)|<=30|-|<=20*
КТ343В|p-n-p|150 (75°C)|>=300|9* (10k)|4|50 (150*)|<=1 (7 B)|>=30* (0,3 В; 10 мА)|<=6 (5 В)|<=30|-|<=10*
КТ345А|p-n-p|300 (600**)|>=350|20* (10k)|5|200 (300*)|<=0,5 (20 B)|>=20* (1 В; 100 мА)|<=15 (5 В)|<=3|-|<=70*
КТ345Б|p-n-p|300 (600**)|>=350|20* (10k)|5|200 (300*)|<=0,5 (20 B)|>=50* (1 В; 100 мА)|<=15 (5 В)|<=3|-|<=70*
КТ345В|p-n-p|300 (600**)|>=350|20* (10k)|5|200 (300*)|<=0,5 (20 B)|>=70* (1 В; 100 мА)|<=15 (5 В)|<=3|-|<=70*
КТ347А|p-n-p|150 (75°C)|>=500|15* (10k)|4|50 (110*)|<=1 (15 B)|30...400* (0,3 В; 10 мА)|<=6 (5 В)|<=30|-|<=25*
КТ347Б|p-n-p|150 (75°C)|>=500|9* (10k)|4|50 (110*)|<=1 (9 B)|30...400* (0,3 В; 10 мА)|<=6 (5 В)|<=30|-|<=25*
КТ347В|p-n-p|150 (75°C)|>=500|6* (10k)|4|50 (110*)|<=1 (6 B)|50...400* (0,3 В; 10 мА)|<=6 (5 В)|<=30|-|<=40*
КТ348А-3|n-p-n|15|>=100|5* (3к)|3,5|15 (45*)|<=1 (5 B)|25...75(1 В; 1 мА)|<=11 (1 В)|<=30|-|<=130*
КТ348Б-3|n-p-n|15|>=100|5* (3к)|3,5|15 (45*)|<=1 (5 B)|35...120 (1 В; 1 мА)|<=11 (1 В)|<=30|-|<=130*
КТ348В-3|n-p-n|15|>=100|5* (3к)|3,5|15 (45*)|<=1 (5 B)|80...250 (1 В; 1 мА)|<=11 (1 В)|<=30|-|<=130*
КТ349А|p-n-p|200 (35°C)|>=300|15* (10k)|4|50 (100*)|<=1 (10 B)|20...80* (1 В; 10 мА)|<=6 (5 В)|<=30|-|-
КТ349Б|p-n-p|200 (35°C)|>=300|15* (10k)|4|50 (100*)|<=1 (10 B)|40... 160* (1 В; 10 мА)|<=6 (5 В)|<=30|-|-
КТ349В|p-n-p|200 (35°C)|>=300|15* (10k)|4|50 (100*)|<=1 (10 B)|120...300* (1 В; 10 мА)|<=6 (5 В)|<=30|-|-
КТ350А|p-n-p|300 (30°C)|>=100|20|5|600*|<=1 (10 В)|20...200* (1 В; 0,5 А)|<=70 (5 В)|<=2|-|-
КТ351А|p-n-p|300 (30°C)|>=200|15* (10к)|5|400*|<=1 (10 В)|20...80* (1 В; 0,5 А)|<=20 (5 В)|<=1,5|-|-
КТ351Б|p-n-p|300 (30°C)|>=200|15* (10к)|5|400*|<=1 (10 В)|50…200* (1 В; 0,3 А)|<=20 (5 В)|<=2,25|-|-
КТ352А|p-n-p|300 (30°C)|>=200|20|5|200*|<=1 (10 В)|25...125* (1 В; 0,2 А)|<=15 (5 В)|<=3|-|-
КТ352Б|p-n-p|300 (30°C)|>=200|20|5|200*|<=1 (10 В)|70...300* (1 В; 0,2 А)|<=15 (5 В)|<=3|-|<=150*
КТ354А-2|n-p-n|30|>=1100|10* (3к)|4|10 (20*)|<=0,5 (10 В)|40...200 (2 В; 5 мА)|<=1,3 (5 В)|-|<=10*|<=25
КТ354Б-2|n-p-n|30|>=1500|10* (3к)|4|10 (20*)|<=0,5 (10 В)|90...360 (2 В; 5 мА)|<=1,3 (5 В)|-|<=10*|<=30
КТ355А|n-p-n|225 (85°C)|>=1500|15* (3к)|4|30 (60*)|<=0,5 (15 В)|80...300* (5 В; 10 мА)|<=2 (5 В)|-|<=5,5 (60 МГц)|<=60
КТ355АМ|n-p-n|225 (85°C)|>=1500|15* (3к)|4|30 (60*)|<=0,5 (15 В)|80...300* (5 В; 10 мА)|<=2 (5 В)|-|<=5,5 (60 МГц)|<=60
КТ357А|p-n-p|100 (50°C)|>=300|6*|3,5|40 (80*)|<=5 (6 В)|20...100* (0,5 В; 10 мА)|<=7 (5 В)|<=30|-|<=150*
КТ357Б|p-n-p|100 (50°C)|>=300|6*|3,5|40 (80*)|<=5 (6 В)|60...300* (0,5 В; 10 мА)|<=7 (5 В)|<=30|-|<=250*
КТ357В|p-n-p|100 (50°C)|>=300|20*|3,5|40 (80*)|<=5 (20 В)|20…100* (0,5 В; 10 мА)|<=7 (5 В)|<=30|-|<=150*
КТ357Г|p-n-p|100 (50°C)|>=300|20*|3,5|40 (80*)|<=5 (20 В)|60...300* (0,5 В; 10 мА)|<=7 (5 В)|<=30|-|<=250*
