Наименование транзистора|Структура|Pк max, Pк* т max, Pк** и max, мВт|fгр, f* h21б, f** h21э, f*** max,МГц|UКБО max, U* КЭR max, U** КЭО max, В|UЭБО max, В|IК max, I* К,и max, мА|IКБО, I* КЭR, I** КЭО, мкА|h21э, h21Э*|Cк, C12э*, пФ|rКЭ нас, ОмrБЭ* нас, ОмKу,р*, дБ|Kш, дБrб*, ОмPвых*, Вт|tau к, псtрас*, нсtвыкл**, нс
КТ370Б-9|p-n-p|30 (50°C)|1000|12* (1k)|4|15 (30*)|<=0,5 (12 B)|40...120 (5 В; 3 мА)|<=2 (5 В)|9,9|-|<=10*
КТ371А|n-p-n|100 (65°C)|>=3000|10|3|20 (40*)|<=0,5 (10 B)|30...240 (1 В; 10 мА)|<=1,2 (5 В)|>=9** (400 МГц)|<=5 (400 МГц)|<=15
КТ371АМ|n-p-n|100 (85°C)|>=3000|10* (3k)|3|20 (40*)|<=0,5 (10 B)|30...240 (1 В; 10 мА)|<=1,2 (5 В)|-|<=5 (400 МГц)|<=15
КТ372А|n-p-n|50 (100°C)|>=2400|15* (10k)|3|10|<=0,5 (15 B)|>=10* (5 В; 10 мА)|<=1 (5 В)|>=10** (1 ГГц)|<=3,5 (1 ГГц)|<=9
КТ372Б|n-p-n|50 (100°C)|>=3000|15* (10k)|3|10|<=0,5 (15 B)|>=10* (5 В; 10 мА)|<=1 (5 В)|>=10** (1 ГГц)|<=5,5 (1 ГГц)|<=9
КТ372В|n-p-n|50 (100°C)|>=2400|15* (10k)|3|10|<=0,5 (15 B)|>=10* (5 В; 10 мА)|<=1 (5 В)|>=10** (1 ГГц)|<=5,5 (1 ГГц)|<=9
КТ373А|n-p-n|150 (55°C)|>=350|30* (10k)|5|50 (200*)|<=0,05 (25 B)|100...250 (5 В; 1 мА)|<=8 (5 В)|<=10|-|<=200
КТ373Б|n-p-n|150 (55°C)|>=300|25* (10k)|5|50 (200*)|<=0,05 (20 B)|200...600 (5 В; 1 мА)|<=8 (5 В)|<=10|-|<=300
КТ373В|n-p-n|150 (55°C)|>=300|10* (10k)|5|50 (200*)|<=0,05 (10 B)|500...1000 (5 В; 1 мА)|<=8 (5 В)|<=10|-|<=700
КТ373Г|n-p-n|150 (55°C)|>=250|60* (10k)|5|50 (200*)|<=0,05 (25 B)|500...125 (5 В; 1 мА)|<=8 (5 В)|<=20|-|<=200
КТ375А|n-p-n|200 (400**)|>=250|60|5|100 (200*)|<=1 (60 B)|10...100* (2 В; 20 мА)|<=5 (10 В)|<=40|-|<=300
КТ375Б|n-p-n|200 (400**)|>=250|30|5|100 (200*)|<=1 (30 B)|50...280* (2 В; 20 мА)|<=5 (10 В)|<=40|-|<=300
КТ379А|n-p-n|25|>=250|30* (10k)|5|30 (100*)|<=0,05 (30 B)|100...250 (5 В; 1 мА)|<=8 (5 В)|<=10|-|-
КТ379Б|n-p-n|25|>=300|25* (10k)|5|30 (100*)|<=0,05 (25 B)|200...500 (5 В; 1 мА)|<=8 (5 В)|<=10|-|-
КТ379В|n-p-n|25|>=300|10* (10k)|5|30 (100*)|<=0,05 (10 B)|400...1000 (5 В; 1 мА)|<=8 (5 В)|<=10|-|-
КТ379Г|n-p-n|25|>=250|60* (10k)|5|30 (100*)|<=0,05 (60 B)|50...125 (5 В; 1 мА)|<=8 (5 В)|<=20|-|-
КТ380А|p-n-p|15|>=300|17* (10k)|4|10 (25*)|<=1 (10 B)|30…90 (0,3 В; 10 мА)|<=6 (5 В)|<=30|-|10*
КТ380Б|p-n-p|15|>=300|17* (10k)|4|10 (25*)|<=1 (10 B)|50…150 (0,3 В; 10 мА)|<=6 (5 В)|<=30|-|20*
КТ380В|p-n-p|15|>=300|9* (10k)|4|20 (25*)|<=1 (7 B)|30...90 (0,3 В; 10 мА)|<=6 (5 В)|<=30|-|10*
КТ381Б|n-p-n|15|>=200|25|6,5|15|0,03 (5 B)|>=40 (5 В; 10 мкА)|-|-|-|-
КТ381В|n-p-n|15|>=200|25|6,5|15|0,03 (5 B)|>=30 (5 В; 10 мкА)|-|-|-|-
КТ381Г|n-p-n|15|>=200|25|6,5|15|0,03 (5 B)|>=20 (5 В; 10 мкА)|-|-|-|-
КТ381Д|n-p-n|15|>=200|25|6,5|15|0,03 (5 B)|>=20 (5 В; 10 мкА)|-|-|-|-
КТ381Е|n-p-n|15|>=200|25|6,5|15|0,03 (5 B)|>=20 (5 В; 10 мкА)|-|-|-|-
КТ382А|n-p-n|100 (65°C)|>=1800|15|3|20 (40*)|<=0,5 (15 B)|40...330 (1 В; 5 мА)|<=2 (5 В)|>=9** (400 МГц)|<=3 (400 МГц)|<=15
КТ382Б|n-p-n|100 (65°C)|>=1800|15|3|20 (40*)|<=0,5 (15 B)|40...330 (1 В; 5 мА)|<=2 (5 В)|>=5** (400 МГц)|<=4,5 (400 МГц)|<=10
КТ382АМ|n-p-n|100 (85°C)|>=1800|15|3|20 (40*)|<=0,5 (15 B)|40...330 (1 В; 5 мА)|<=2 (5 В)|>=9** (400 МГц)|<=3 (400 МГц)|<=15
КТ382БМ|n-p-n|100 (85°C)|>=1800|15|3|20 (40*)|<=0,5 (15 B)|40...330 (1 В; 5 мА)|<=2 (5 В)|>=5** (400 МГц)|<=4,5 (400 МГц)|<=10
КТ384А-2|n-p-n|300|>=450|30* (5k)|4|300 (500*)|<=10 (30 B)|30... 180* (1 В; 0,15 А)|<=4 (10 В)|<=4|-|<=15*
КТ384АМ-2|n-p-n|300|>=450|30* (5k)|4|300 (500*)|<=10 (30 B)|30... 180* (1 В; 0,15 А)|<=4 (10 В)|<=4|-|<=15*
КТ385А-2|n-p-n|300|>=200|60|4|300 (500*)|<=10 (60 B)|20…200* (1 В; 0,15 А)|<=4 (10 В)|<=5|-|<=60*
КТ385АМ-2|n-p-n|300|>=200|60|4|300 (500*)|<=10 (60 B)|20…200* (1 В; 0,15 А)|<=4 (10 В)|<=5|-|<=60*
КТ385БМ-2|n-p-n|300|>=200|60|4|300 (500*)|<=10 (60 B)|20…100* (1 В; 0,15 А)|<=4 (10 В)|<=5|-|<=60*
КТ388Б-2|p-n-p|300 (80°C)|>=250|50|4,5|250|<=2 (50 B)|25…100* (1 В; 0,12 А)|<=7 (10 В)|<=5|-|60; <=60*
КТ388БМ-2|p-n-p|300|>=250|50|4,5|250|<=2 (50 B)|25...100* (1 В; 0,12 А)|<=7 (10 В)|<=5|-|60; <=60*
КТ389Б-2|p-n-p|300 (80°C)|>=450|25* (1k)|4,5|300|<=1 (25 B)|25...100* (1 В; 0,2 А)|<=10 (10 В)|<=3|-|<=25*; <=180
КТ391А-2|n-p-n|70 (85°C)|>=5000|15|2|10|<=0,5 (10B)|>=20 (7 В; 5 мА)|<=0,7 (5 В)|-|<=4,5 (3,6 ГГц)|<=3,7
КТ391Б-2|n-p-n|70 (85°C)|>=5000|15|2|10|<=0,5 (10 B)|>=20 (7 В; 5 мА)|<=0,7 (5 В)|-|<=5,5 (3,6 ГГц)|<=3,7
КТ391В-2|n-p-n|70 (85°C)|>=4000|10|1|10|<=0,5 (7 B)|>=20 (7 В; 5 мА)|<=0,7 (5 В)|-|<=6 (3,6 ГГц)|<=3,7
КТ392А-2|p-n-p|120 (65°C)|>=300|40* (5k)|4|10 (20*)|<=0,5 (40 B)|40...180* (5 В; 2,5 мА)|<=2,5 (5 В)|<=50|4,5 (100 МГц)|<=120
КТ396А-2|n-p-n|30 (50°C)|>=2100|15|3|40|<=0,5 (15 B)|40...250 (2 В; 5 мА)|<=1,5 (5 В)|<=11*|-|<=15
КТ396А-9|n-p-n|100|>=2100|15|3|40|<=0,5 (15B)|40...250 (2 В; 5 мА)|<=2 (5 В)|-|-|<=15
КТ397А-2|n-p-n|120 (90°C)|>=500|40* (10k)|4|10 (20*)|<=1 (40 B)|40...300 (5 В; 2 мА)|<=1,3 (5 В)|<=25*|-|<=40
КТ399А|n-p-n|150 (55°C)|>=1800|15**|3|20 (40*)|<=0,5 (15 B)|>=40 (1 В; 5 мА)|<=1,7 (5 В)|>=11,5** (0,4 ГГц)|<=2 (400 МГц)|<=8
КТ399АМ|n-p-n|150 (55°C)|>=1800|15**|3|30 (60*)|<=0,5 (15 В)|>=40* (1 В; 5 мА)|<=1,7 (5 В)|>=11,5** (0,4 ГГц)|<=2 (4000 МГц)|<=8
КТ501А|p-n-p|350 (35°C)|>=5|15* (10к)|10|300 (500*)|<=1* (15 В)|20…60* (1 В; 30 мА)|<=50 (10 В)|<=1,3|-|-
КТ501Б|p-n-p|350 (35°C)|>=5|15* (10к)|10|300 (500*)|<=1* (15 В)|40…120* (1 В; 30 мА)|<=50 (10 В)|<=1,3|-|-
КТ501В|p-n-p|350 (35°C)|>=5|15* (10к)|10|300 (500*)|<=1* (15 В)|80...240* (1 В; 30 мА)|<=50 (10 В)|<=1,3|<=4 (1 кГц)|-
КТ501Г|p-n-p|350 (35°C)|>=5|30* (10к)|10|300 (500*)|<=1* (30 В)|20…60* (1 В; 30 мА)|<=50 (10 В)|<=1,3|-|-
КТ501Д|p-n-p|350 (35°C)|>=5|30* (10к)|10|300 (500*)|<=1* (30 В)|40…120* (1 В; 30 мА)|<=50 (10 В)|<=1,3|-|-
КТ501Е|p-n-p|350 (35°C)|>=5|30* (10к)|10|300 (500*)|<=1* (30 В)|80...240* (1 В; 30 мА)|<=50 (10 В)|<=1,3|<=4 (1 кГц)|-
КТ501Ж|p-n-p|350 (35°C)|>=5|45* (10к)|20|300 (500*)|<=1* (45 В)|20…60* (1 В; 30 мА)|<=50 (10 В)|<=1,3|-|-
КТ501И|p-n-p|350 (35°C)|>=5|45* (10к)|20|300 (500*)|<=1* (45 В)|40…120* (1 В; 30 мА)|<=50 (10 В)|<=1,3|-|-
КТ501К|p-n-p|350 (35°C)|>=5|45* (10к)|20|300 (500*)|<=1* (45 В)|80...240* (1 В; 30 мА)|<=50 (10 В)|<=1,3|<=4 (1 кГц)|-
KT501JI|p-n-p|350 (35°C)|>=5|60* (10к)|20|300 (500*)|<=1* (60 В)|20...60* (1 В; 30 мА)|<=50 (10 В)|<=1,3|-|-
КТ501М|p-n-p|350 (35°C)|>=5|60* (10к)|20|300 (500*)|<=1* (60 В)|40...120* (1 В; 30 мА)|<=50 (10 В)|<=1,3|-|-
КТ502А|p-n-p|350|5...50|40|5|150 (300*)|<=1 (40 В)|40...120 (5 В; 10 мА)|<=50 (10 В)|<=60|<=320*|-
КТ502Б|p-n-p|350|5...50|40|5|150 (300*)|<=1 (40 В)|80...240 (5 В; 10 мА)|<=50 (10 В)|<=60|<=320*|-
КТ502В|p-n-p|350|5...50|60|5|150 (300*)|<=1 (60 В)|40...120 (5 В; 10 мА)|<=50 (10 В)|<=60|<=320*|-
КТ502Г|p-n-p|350|5...50|60|5|150 (300*)|<=1 (60 В)|80...240 (5 В; 10 мА)|<=50 (10 В)|<=60|<=320*|-
КТ502Д|p-n-p|350|5...50|80|5|150 (300*)|<=1 (80 В)|40...120 (5 В; 10 мА)|<=50 (10 В)|<=60|<=320*|-
КТ502Е|p-n-p|350|5...50|90|5|150 (300*)|<=1 (90 В)|40...120 (5 В; 10 мА)|<=50 (10 В)|<=60|<=320*|-
КТ503А|n-p-n|350|5...50|40|5|150 (300*)|<=1 (40 В)|40...120 (5 В; 10 мА)|<=50 (10 В)|<=60|<=580*|-
КТ503Б|n-p-n|350|5...50|40|5|150 (300*)|<=1 (40 В)|80...240 (5 В; 10 мА)|<=50 (10 В)|<=60|<=580*|-
КТ503В|n-p-n|350|5...50|60|5|150 (300*)|<=1 (60 В)|40...120 (5 В; 10 мА)|<=50 (10 В)|<=60|<=580*|-
КТ503Г|n-p-n|350|5...50|60|5|150 (300*)|<=1 (60 В)|80...240 (5 В; 10 мА)|<=50 (10 В)|<=60|<=580*|-
КТ503Д|n-p-n|350|5...50|80|5|150 (300*)|<=1 (80 В)|40...120 (5 В; 10 мА)|<=50 (10 В)|<=60|<=580*|-
КТ503Е|n-p-n|350|5...50|100|5|150 (300*)|<=1 (100 В)|40...120 (5 В; 10 мА)|<=50 (10 В)|<=60|<=580*|-
КТ504А|n-p-n|1 (10*) Вт|>=20|400; 350*|6|1 (2*) А|<=100 (400 В)|15…100* (5 В; 0,5 А)|<=30 (10 В)|<=2|-|<=2700*
КТ504Б|n-p-n|1 (10*) Вт|>=20|200* (0,1 к)|6|1 (2*) А|<=100 (250 В)|15...100* (5 В; 0,5 А)|<=30 (10 В)|<=2|-|<=2700*
КТ504В|n-p-n|1 (10*) Вт|>=20|275* (0,1 к)|6|1 (2*) А|<=100 (300 В)|15…100* (5 В; 0,5 А)|<=30 (10 В)|<=2|-|<=2700*
КТ505А|p-n-p|1 (5*) Вт|>=20|300* (0,1 к)|5|1 (2*) А|<=100 (300 В)|25...140* (10 В; 0,5 А)|<=70 (5 В)|<=3,6|-|<=2600*
КТ505Б|p-n-p|1 (5*) Вт|>=20|250* (0,1 к)|5|1 (2*) А|<=100 (250 В)|25...140* (10 В; 0,5 А)|<=70 (5 В)|<=3,6|-|<=2600*
КТ506А|n-p-n|0,8 (10*) Вт|>=10|800|5|2 (5*)А|<=200 (600 В)|30…150* (5 В;  0,3 А)|<=40 (5 В)|<=2|-|<=1560*
КТ506Б|n-p-n|0,8 (10*) Вт|>=10|600|5|2 (5*) А|<=200 (600 В)|30...150* (5 В;  0,3 А)|<=40 (5 В)|<=2|-|<=1560*
КТ509А|p-n-p|300; 1* Вт|>=10|500|5|20|<=5 (500 В)|10...100 (10 В; 0,1 мА)|<=2,9 (100 В)|10к|-|<=500
КТ601А|n-p-n|0,25 (0,5*) Вт|>=40|100*|3|30|<=50 (50 В)|>=16 (20 В; 10 мА)|<=15 (20 В)|-|-|<=600
КТ601АМ|n-p-n|0,5 Вт|>=40|100*|3|30|<=300* (100 В)|>=16 (20 В; 10 мА)|<=15 (20 В)|-|-|<=600
КТ602А|n-p-n|0,85 (2,8*) Вт|>=150|120|5|75 (500*)|<=70 (120 В)|20...80 (10 В; 10 мА)|<=4 (50 В)|<=60|-|<=300
КТ602Б|n-p-n|0,85 (2,8*) Вт|>=150|120|5|75 (500*)|<=70 (120 В)|>=50 (10 В; 10 мА)|<=4 (50 В)|<=60|-|<=300
КТ602В|n-p-n|0,85 (2,8*) Вт|>=150|80|5|75 (300*)|<=70 (80 В)|15…80 (10 В; 10 мА)|<=4 (50 В)|<=60|-|<=300
КТ602Г|n-p-n|0,85 (2,8*) Вт|>=150|80|5|75 (300*)|<=70 (80 В)|>=50 (10 В; 10 мА)|<=4 (50 В)|<=60|-|<=300
КТ602АМ|n-p-n|0,85 (2,8*) Вт|>=150|120|5|75 (500*)|<=70 (120 В)|20...80 (10 В; 10 мА)|<=4 (50 В)|<=60|-|<=300
КТ602БМ|n-p-n|0,85 (2,8*) Вт|>=150|120|5|75 (300*)|<=70 (120 В)|>=50 (10 В; 10 мА)|<=4 (50 В)|<=60|-|<=300
КТ603А|n-p-n|0,5 Вт (50°С)|>=200|30* (1к)|3|300 (600*)|<=10 (30 В)|10…80* (2 В; 15 А)|<=15 (10 В)|<=7|-|<=100**
КТ603Б|n-p-n|0,5 Вт (50°С)|>=200|30* (1к)|3|300 (600*)|<=0 (30 В)|>=60* (2 В; 0,15 А)|<=15 (10 В)|<=7|-|<=100**
КТ603В|n-p-n|0,5 Вт (50°С)|>=200|15* (1к)|3|300 (600*)|<=5 (15 В)|10…80* (2 В; 0,15 А)|<=15 (10 В)|<=7|-|<=100**
КТ603Г|n-p-n|0,5 Вт (50°С)|>=200|15* (1к)|3|300 (600*)|<=5 (15 В)|>=60* (2 В; 0,15 А)|<=15 (10 В)|<=7|-|<=100**
КТ603Д|n-p-n|0,5 Вт (50°С)|>=200|10* (1к)|3|300 (600*)|<=1 (10 В)|20…80*(2 В; 0,15 А)|<=15 (10 В)|<=7|-|<=100**
КТ603Е|n-p-n|0,5 Вт (50°С)|>=200|10* (1к)|3|300 (600*)|<=1 (10 В)|60...200* (2 В; 0,15 А)|<=15 (10 В)|<=7|-|<=100**
КТ603И|n-p-n|0,5 Вт (50°С)|>=200|30* (1к)|3|300 (600*)|<=10 (30 В)|>=20* (2 В; 0,35 А)|<=15 (10 В)|<=3,4|-|<=100**
КТ604А|n-p-n|0,8 (3*) Вт|>=40|300|5|200|<=50 (250 В)|10...40* (40 В; 20 мА)|<=7 (40 В)|<=400|-|-
КТ604Б|n-p-n|0,8 (3*) Вт|>=40|250* (1к)|5|200|<=50 (250 В)|30…120* (40 В; 20 мА)|<=7 (40 В)|<=400|-|-
КТ604АМ|n-p-n|0,8 (3*) Вт|>=40|250* (1к)|5|200|<=20* (250 В)|10...40* (40 В; 20 мА)|<=7 (40 В)|<=400|-|-
КТ604БМ|n-p-n|0,8 (3*) Вт|>=40|300|5|200|<=20 (250 В)|30...120* (40 В; 20 мА)|<=7 (40 В)|<=400|-|-
КТ605А|n-p-n|0,4 Вт (100°С)|>=40|300|5|100 (200*)|<=50* (250 В)|10...40* (40 В; 20 мА)|<=7 (40 В)|<=400|-|<=250
КТ605Б|n-p-n|0,4 Вт (100°С)|>=40|300|5|100 (200*)|<=50* (250 В)|30...120* (40 В; 20 мА)|<=7 (40 В)|<=400|-|<=250
КТ605АМ|n-p-n|0,4 Вт (100°С)|>=40|300|5|100 (200*)|<=20* (250 В)|10...40* (40 В; 20 мА)|<=7 (40 В)|<=400|-|<=250
КТ605БМ|n-p-n|0,4 Вт (100°С)|>=40|300|5|100 (200*)|<=20* (250 В)|30...120* (40 В; 20 мА)|<=7 (40 В)|<=400|-|<=250
КТ606А|n-p-n|2,5 Вт (40°С)|>=350|60|4|400 (800*)|<=1,5* (60 В)|>=15  (10 В; 0,10 А)|<=10 (28 В)|<=5|>=0,8** (400 МГц)|<=10
КТ606Б|n-p-n|2,5 Вт (40°С)|>=300|60|4|400 (800*)|<=1,5* (60 В)|>=15  (10 В; 0,10 А)|<=10 (28 В)|<=5|>=0,6** (400 МГц)|<=12
КТ607А-4|n-p-n|1,5 Вт|>=700|40|4|150|<=1 (30 В)|-|<=4 (10 В)|>=4** (1 ГГц)|>=1** (1 ГГц)|<=18
КТ607Б-4|n-p-n|1,5 Вт|>=700|30|4|150|<=1 (30 В)|-|<=4,5 (10 В)|>=3** (1 ГГц)|>=1** (1 ГГц)|<=25
КТ608А|n-p-n|0,5 Вт|>=200|60|4|400 (800*)|<=10 (60 В)|20...80* (5 В; 0,2 А)|<=15 (10 В)|<=2,5|-|<=120*
КТ608Б|n-p-n|0,5 Вт|>=200|60|4|400 (800*)|<=10 (60 В)|40...160* (5 В; 0,2 А)|<=15 (10 В)|<=2,5|-|<=120*
КТ6109А|p-n-p|625|-|40|5|500|<=0,1|64...91|-|1.2|-|-
КТ6109Б|p-n-p|625|-|40|5|500|<=0,1|78...112|-|1,2|-|-
КТ6109В|p-n-p|625|-|40|5|500|<=0,1|96...135|-|1,2|-|-
КТ6109Г|p-n-p|625|-|40|5|500|<=0,1|112...166|-|1,2|-|-
КТ6109Д|p-n-p|625|-|40|5|500|<=0,1|144...202|-|1,2|-|-
КТ610А|n-p-n|1,5 Вт (50°С)|>=1000|26|4|300|<=0,5 (26 В)|50...300* (10 В; 0,15 А)|<=4,1 (10 В)|-|6 (0,2 ГГц)|<=55
КТ610Б|n-p-n|1,5 Вт (50°С)|>=700|26|4|300|<=0,5 (26 В)|20...300* (10 В; 0,15 А)|<=4,1 (10 В)|-|6 (0,2 ГГц)|<=22
КТ6102А|p-n-p|1000|-|110|5|1500|<=0,1|80...250|-|<=5|-|-
КТ6103А|n-p-n|1000|-|140|5|1500|<=0,1|80...250|-|<=5|-|-
КТ6104А|n-p-n|1000|-|300|5|150|<=0,1|80...250|-|<=5|-|-
КТ6105А|p-n-p|1000|-|300|5|150|<=0,1|80...250|-|<=5|-|-
КТ6107А|n-p-n|1000|-|500|5|130|<=0,1|80...250|-|<=5|-|-
КТ6108А|p-n-p|1000|-|500|5|130|<=0,1|80...250|-|<=5|-|-
КТ611А|n-p-n|0,8 (3*) Вт|>=60|200|3|100|<=200 (180 В)|10...40* (40 В; 20 мА)|<=5 (40 В)|<=400|-|<=200
КТ611Б|n-p-n|0,8 (3*) Вт|>=60|200|3|100|<=200 (180 В)|30...120* (40 В; 20 мА)|<=5 (40 В)|<=400|-|<=200
КТ611В|n-p-n|0,8 (3*) Вт|>=60|180|3|100|<=100 (150 В)|10...40* (40 В; 20 мА)|<=5 (40 В)|<=400|-|<=200
КТ611Г|n-p-n|0,8 (3*) Вт|>=60|180|3|100|<=100 (150 В)|30...120* (40 В; 20 мА)|<=5 (40 В)|<=400|-|<=200
КТ611АМ|n-p-n|0,8 (3*) Вт|>=60|200|4|100|<=100 (180 В)|10...40* (40 В; 20 мА)|<=5 (40 В)|<=400|-|<=200
КТ611БМ|n-p-n|0,8 (3*) Вт|>=60|200|4|100|<=100 (180 В)|30...120* (40 В; 20 мА)|<=5 (40 В)|<=400|-|<=200
КТ6110А|n-p-n|625|-|40|5|500|<=0,1|64...91|-|1,2|-|-
КТ6110Б|n-p-n|625|-|40|5|500|<=0,1|78...112|-|1,2|-|-
KT6110B|n-p-n|625|-|40|5|500|<=0,1|96...135|-|1,2|-|-
КТ6110Г|n-p-n|625|-|40|5|500|<=0,1|112...166|-|1,2|-|-
КТ6110Д|n-p-n|625|-|40|5|500|<=0,1|144...202|-|1,2|-|-
КТ6111А|n-p-n|450|150|50|5|100|<=0,05|60...150|-|<=3|<=10 (1 кГц)|-
КТ6111Б|n-p-n|450|150|50|5|100|<=0,05|100...300|-|<=3|<=10 (1 кГц)|-
КТ6111В|n-p-n|450|150|50|5|100|<=0,05|200...600|-|<=3|<=10 (1 кГц)|-
КТ6111Г|n-p-n|450|150|50|5|100|<=0,05|400...1000|-|<=3|<=10 (1 кГц)|-
КТ6112А|p-n-p|450|100|50|5|100|<=0,05|60...150|-|<=7|<=10 (1 кГц)|-
КТ6112Б|p-n-p|450|100|50|5|100|<=0,05|100...300|-|<=7|<=10 (1 кГц)|-
КТ6112В|p-n-p|450|100|50|5|100|<=0,05|200...600|-|<=7|<=10 (1 кГц)|-
КТ6113А|n-p-n|400|700|30|5|50|<=0,05|28...45|-|<=10|-|-
КТ6113Б|n-p-n|400|700|30|5|50|<=0,05|39...60|-|<=10|-|-
КТ6113В|n-p-n|400|700|30|5|50|<=0,05|54...80|-|<=10|-|-
КТ6113Г|n-p-n|400|700|30|5|50|<=0,05|72...108|-|<=10|-|-
КТ6113Д|n-p-n|400|700|30|5|50|<=0,05|97...146|-|<=10|-|-
КТ611ЗЕ|n-p-n|400|700|30|5|50|<=0,05|132...198|-|<=10|-|-
КТ6114А|n-p-n|1000|100|40|6|1500|<=0,1|85...160|-|-|-|-
КТ6114Б|n-p-n|1000|100|40|6|1500|<=0,1|120...200|-|-|-|-
КТ6114В|n-p-n|1000|100|40|6|1500|<=0,1|160...300|-|-|-|-
КТ6114Г|n-p-n|700|100|40|6|1100|<=0,1|85...160|-|-|-|-
КТ6114Д|n-p-n|700|100|40|6|1100|<=0,1|120...200|-|-|-|-
КТ6114Е|n-p-n|700|100|40|6|1100|<=0,1|160...300|-|-|-|-
КТ6115А|p-n-p|1000|100|40|6|1500|<=0,1|85...160|-|-|-|-
КТ6115Б|p-n-p|1000|100|40|6|1500|<=0,1|120...200|-|-|-|-
КТ6115В|p-n-p|1000|100|40|6|1500|<=0,1|160...300|-|-|-|-
КТ6115Г|p-n-p|1000|100|40|6|1100|<=0,1|85...160|-|-|-|-
КТ6115Д|p-n-p|1000|100|40|6|1100|<=0,1|120...200|-|-|-|-
КТ6115Е|p-n-p|1000|100|40|6|1100|<=0,1|160...300|-|-|-|-
КТ6116А|p-n-p|625|>=100|160|5|600|<=0,05|60...240|-|-|<=8|-
КТ6116Б|p-n-p|625|>=100|130|5|600|<=0,01|40...180|-|-|-|-
КТ6117А|n-p-n|625|>=100|180; 160*|5|600|<=0,05|80...250 (5 В; 10 мА)|<=6|<=4|<=8|-
КТ6117Б|n-p-n|625|>=100|160; 140*|5|600|<=0,1|60...250 (5 В; 10 мА)|<=6|<=5|-|-
КТ6127А|p-n-p|600 (6 Вт**)|>=150|90|4|2 (8*)|<=20 (90)|>=30* (5 В; 500 мА)|<=74 (5 В)|<=0,15|-|<=250*
КТ6127Б|p-n-p|600 (6 Вт**)|>=150|70|4|2 (8*)|<=20 (70)|>=30* (5 В; 500 мА)|<=74 (5 В)|<=0,15|-|<=250*
КТ6127В|p-n-p|600 (6 Вт**)|>=150|50|4|2 (8*)|<=20 (50)|>=30* (5 В; 500 мА)|<=74 (5 В)|<=0,15|-|<=250*
КТ6127Г|p-n-p|600 (6 Вт**)|>=150|30|4|2 (8*)|<=20 (30)|>=50* (5 В; 500 мА)|<=74 (5 В)|<=0,15|-|<=250*
КТ6127Д|p-n-p|600 (6 Вт**)|>=150|20|4|2 (8*)|<=20 (20)|>=50* (5 В; 500 мА)|<=74 (5 В)|<=0,15|-|<=250*
КТ6127Е|p-n-p|600 (6 Вт**)|>=150|10|4|2 (8*)|<=20 (10)|>=50* (5 В; 500 мА)|<=74 (5 В)|<=0,15|-|<=250*
КТ6127Ж|p-n-p|600 (6 Вт**)|>=150|120|4|2 (8*)|<=20 (120)|>=50* (5 В; 500 мА)|<=74 (5 В)|<=0,2|-|<=250*
КТ6127И|p-n-p|600 (6 Вт**)|>=150|160|4|2 (8*)|<=20 (160)|>=30* (5 В; 500 мА)|<=74 (5 В)|<=0,2|-|<=250*
КТ6127К|P-n-p|600 (6 Вт**)|>=150|200|4|2 (8*)|<=20 (200)|>=30* (5 В; 500 мА)|<=74 (5 В)|<=0,25|-|<=250*
КТ6129А-9|p-n-p|700|>=4500|20; 15*|3|100|<=0,1 (10 В)|20...150* (10 В; 50 мА)|<=1,45 (10 В)|-|-|-
КТ6129Б-2|p-n-p|1 Вт|>=250|50|4,5|1000|<=5 (50 В)|25...150 (5 В; 0,2 А)|<=25 (10 В)|<=2|-|90*
КТ6130А-9|n-p-n|700|>=4000|15*|-|100|-|>=20|-|-|-|-
КТ6133А|p-n-p|1000|>=100|25*|-|1200|-|85...160|-|-|-|-
КТ6133Б|p-n-p|1000|>=100|25*|-|1200|-|120...200|-|-|-|-
КТ6133В|p-n-p|1000|>=100|25*|-|1200|-|160...300|-|-|-|-
КТ6134А|n-p-n|1000|>=100|25*|-|1200|-|85...160|-|-|-|-
КТ6134Б|n-p-n|1000|>=100|25*|-|1200|-|120...200|-|-|-|-
КТ6134В|n-p-n|1000|>=100|25*|-|1200|-|160...300|-|-|-|-
КТ6135А|n-p-n|800|>=100|400*|-|500|-|50...500|-|-|-|-
КТ6135Б|n-p-n|800|>=100|300*|-|500|-|50...500|-|-|-|-
КТ6135В|n-p-n|800|>=100|200*|-|500|-|50...500|-|-|-|-
КТ6135Г|n-p-n|800|>=100|100*|-|500|-|50...500|-|-|-|-
КТ616А|n-p-n|0,3 Вт|>=200|20*|4|400 (600*)|<=15 (10 В)|>=40* (1 В; 0,5 А)|<=15 (10 В)|<=1,2|-|<=50*
КТ616Б|n-p-n|0,3 Вт|>=200|20*|4|400 (600*)|<=15 (10 В)|>=25* (1 В; 0,5 А)|<=15 (10 В)|<=1,2|-|<=15*
КТ617А|n-p-n|0,5 Вт|>=150|30|4|400 (600*)|<=5 (30 В)|>=30* (2 В; 0,4 А)|<=15 (10 В)|<=7|-|<=120
КТ618А|n-p-n|0,5 Вт|>=40|300|5|100|<=50* (250 В)|>=30* (40 В; 1 мА)|<=7 (40 В)|-|-|-
КТ620А|p-n-p|0,225 Вт|>=200|50|3|400|<=5 (50 В)|100* (10 В; 10 мА)|-|<=2,5|-|-
